  ,,,,,,,,,,,,,,,,,,,,,,
"Plantation areas, by type and state ('000 ha)",,,,,,,,,,,,,,,,,,,,,,
,,Units,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21
Hardwood,,,,,,,,,,,,,,,,,,,,,,
,New South Wales,’000 ha,51.3,51.0,54.1,55.2,62.6,70.6,81.7,92.5,93.0,93.0,93.0,93.0,90.6,87.1,87.1,87.1,87.1,87.1,55.7,55.0
,Victoria,’000 ha,142.6,154.7,168.5,164.7,175.3,191.0,200.7,202.7,203.0,205.8,206.6,206.5,206.0,199.0,199.0,197.5,196.3,194.1,161.9,159.6
,Queensland,’000 ha,26.0,30.5,34.4,37.5,42.8,49.4,59.3,63.6,39.8,40.9,41.4,41.5,41.6,34.8,34.8,34.8,34.8,34.8,18.0,18.0
,South Australia,’000 ha,32.4,37.1,39.4,42.3,47.9,55.0,58.4,58.7,59.7,59.7,59.7,59.7,59.7,51.4,51.4,48.5,44.8,38.5,43.9,43.8
,Western Australia,’000 ha,247.5,251.5,259.4,270.8,281.3,294.7,305.0,311.8,307.4,306.7,301.0,298.9,287.3,276.4,276.4,260.9,253.5,250.0,197.6,194.3
,Tasmania,’000 ha,135.3,146.6,151.3,155.5,174.0,199.1,217.1,232.0,234.4,235.6,235.6,235.6,235.6,233.9,233.9,233.9,233.9,233.9,199.5,196.3
,Northern Territory,’000 ha,3.2,4.4,8.4,14.1,23.5,23.7,27.3,29.6,35.7,37.8,39.4,41.1,42.3,45.7,45.7,45.6,45.5,45.5,46.9,43.9
,Aust. Capital Territory,’000 ha,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Australia a,’000 ha,638.3,676.0,715.5,740.2,807.4,883.5,949.5,990.9,973.0,979.5,976.7,976.4,963.1,928.3,928.3,908.5,896.0,884.0,723.6,711.0
  ,,,,,,,,,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,
,New South Wales,’000 ha,270.5,280.3,287.3,273.6,280.0,285.7,285.6,287.8,295.5,295.8,296.2,296.5,296.7,305.7,307.1,307.1,306.0,306.0,304.0,292.5
,Victoria,’000 ha,217.3,212.0,214.9,218.4,218.9,219.4,219.9,220.0,226.4,225.9,225.9,225.9,226.0,223.3,223.3,223.4,223.4,223.6,224.0,222.3
,Queensland,’000 ha,181.6,181.1,180.2,186.0,187.7,188.8,189.2,190.7,188.3,189.1,189.4,189.4,189.4,195.5,195.5,195.5,195.6,195.6,184.5,184.5
,South Australia,’000 ha,116.8,120.5,124.3,124.2,124.2,122.9,122.9,123.4,128.4,128.5,128.5,128.5,128.5,127.2,127.2,127.2,127.2,128.1,128.3,124.2
,Western Australia,’000 ha,104.1,109.2,110.4,104.5,105.1,106.7,109.2,110.9,100.2,100.2,98.4,98.3,98.5,98.4,98.4,98.4,99.7,101.3,97.7,98.2
,Tasmania,’000 ha,78.2,76.1,74.4,71.6,73.6,75.0,77.0,77.1,74.7,75.1,75.1,75.1,75.1,75.9,75.9,75.9,75.8,75.8,78.5,78.0
,Northern Territory,’000 ha,3.8,3.8,3.8,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.4,2.4,1.9,1.9,1.9,1.9,1.9,2.4,1.9
,Aust. Capital Territory,’000 ha,15.7,5.3,5.4,9.5,9.5,9.5,7.9,7.9,7.7,7.7,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,8.7,8.7
,Australia a,’000 ha,987.9,988.2,"1,000.6",990.0,"1,001.1","1,010.2","1,013.8","1,020.1","1,023.6","1,024.8","1,023.6","1,023.8","1,024.2","1,035.4","1,036.8","1,036.9","1,037.0","1,039.7","1,028.1","1,010.2"
  ,,,,,,,,,,,,,,,,,,,,,,
Total (incl. unallocated) b,,,,,,,,,,,,,,,,,,,,,,
,New South Wales,’000 ha,322.7,331.2,341.4,331.6,345.5,359.1,370.1,383.2,391.3,391.6,391.9,392.2,390.0,393.0,394.4,394.4,393.2,393.2,360.1,347.9
,Victoria,’000 ha,359.9,366.6,383.3,384.6,395.7,411.9,422.1,424.2,430.5,432.9,433.6,433.5,433.1,423.0,423.0,421.7,420.6,418.5,386.6,382.6
,Queensland,’000 ha,208.0,212.9,214.6,225.6,232.6,240.3,250.6,256.4,230.6,232.5,233.3,233.4,233.5,230.4,230.4,230.4,230.5,230.5,205.4,205.4
,South Australia,’000 ha,149.4,157.9,163.8,167.0,172.5,178.3,181.8,182.5,188.3,188.5,188.5,188.5,188.5,178.8,178.8,175.9,172.2,166.8,172.3,168.1
,Western Australia,’000 ha,351.6,360.8,369.8,377.6,388.7,403.7,416.5,425.1,413.3,412.6,405.1,402.9,391.5,383.4,383.4,367.9,361.7,359.9,309.8,307.1
,Tasmania,’000 ha,213.4,222.7,225.7,227.2,247.7,274.2,294.1,309.2,309.1,310.7,310.7,310.7,310.7,309.8,309.8,309.9,309.8,309.7,282.5,278.7
,Northern Territory,’000 ha,7.0,8.3,12.3,16.3,25.7,25.9,29.5,31.8,38.1,40.2,41.8,43.5,44.7,47.6,47.6,47.5,47.4,47.4,49.3,45.8
,Aust. Capital Territory,’000 ha,15.9,5.3,5.4,9.5,9.5,9.5,7.9,7.9,7.7,7.7,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,8.7,8.7
,Australia a,’000 ha,"1,627.8","1,665.7","1,716.2","1,739.4","1,817.8","1,902.9","1,972.5","2,020.2","2,008.9","2,016.6","2,012.6","2,012.5","1,999.7","1,973.4","1,974.8","1,955.1","1,942.7","1,933.4","1,774.7","1,744.2"
,,," a Totals may not tally due to rounding. b Total includes plantations where type in unknown. 
Note: Plantation area may increase or decrease between reporting years as new plantations are established, some plantation areas are removed which growers and managers deem to be commercially unviable, some plantations are not re-established after harvest and as growers and managers provide revised net planted and fallow areas for their plantation estates. 
Source: Australian plantation statistics update, ABARES, Canberra.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,
